주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항
4636459,포장,나우웨이팅 POS,닭가슴살 샐러드,"목살(100g) 추가, 삶은달걀 추가",오리엔탈,onsite,9000,0,9000,2020-08-18 18:53:27,-,-,X,,-
4636227,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 18:39:28,-,-,X,,-
4636204,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-18 18:38:00,-,-,X,,-
4636191,매장식사,나우웨이팅 POS,닭가슴살 샐러드,목살(100g) 추가,오리엔탈,onsite,8500,0,8500,2020-08-18 18:37:25,-,-,X,,-
4636123,포장,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 18:34:25,-,-,X,,-
4636109,"포장, 포장",나우웨이팅 POS,"숲속 샐러드, 이너프 샐러드","고구마 50g 추가, 고구마 50g 추가","오리엔탈, 오리엔탈",onsite,11600,0,11600,2020-08-18 18:33:40,-,-,X,,-
4636085,포장,나우웨이팅 POS,"이너프 샐러드, 이너프 샐러드",삶은달걀 추가,렌치,onsite,9600,0,9600,2020-08-18 18:32:22,-,-,X,,-
4635969,매장식사,나우웨이팅 POS,숲속 샐러드,,발사믹,onsite,5900,0,5900,2020-08-18 18:24:29,-,-,X,,-
4635959,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,렌치,onsite,5900,0,5900,2020-08-18 18:23:45,-,-,X,,-
4635947,매장식사,나우웨이팅 POS,이너프 샐러드,,렌치,onsite,4300,0,4300,2020-08-18 18:22:59,-,-,X,,-
4635889,매장식사,나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드","강낭콩 X, 계란, 고구마(50g)",렌치,onsite,14200,0,14200,2020-08-18 18:19:43,-,-,X,,-
4635857,포장,나우웨이팅 POS,이너프 샐러드,,렌치,onsite,4300,0,4300,2020-08-18 18:17:34,-,-,X,,-
4635853,포장,나우웨이팅 POS,"목살 샐러드, 목살 샐러드",,오리엔탈,onsite,12800,0,12800,2020-08-18 18:17:19,-,-,X,,-
4635851,"포장, 포장",나우웨이팅 POS,"이너프 샐러드, 이너프 샐러드",,"오리엔탈, 발사믹",onsite,8600,0,8600,2020-08-18 18:17:10,-,-,X,,-
4635796,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 18:13:45,-,-,X,,-
4635778,매장식사,나우웨이팅 POS,"목살 샐러드, 목살 샐러드",,오리엔탈,onsite,12800,0,12800,2020-08-18 18:12:49,-,-,X,,-
4635770,매장식사,나우웨이팅 POS,목살 샐러드,,렌치,onsite,6400,0,6400,2020-08-18 18:12:16,-,-,X,,-
4635759,"포장, 포장",나우웨이팅 POS,"이너프 샐러드, 닭가슴살 샐러드",,"발사믹, 오리엔탈",onsite,10200,0,10200,2020-08-18 18:11:16,-,-,X,,-
4635736,"매장식사, 매장식사",나우웨이팅 POS,"이너프 샐러드, 훈제연어 샐러드","할라피뇨 X, 고구마(50g)","발사믹, 렌치",onsite,11900,0,11900,2020-08-18 18:09:59,-,-,X,,-
4635705,매장식사,나우웨이팅 POS,목살 샐러드,"할라피뇨 X, 고구마(50g)",오리엔탈,onsite,7100,0,7100,2020-08-18 18:08:14,-,-,X,,-
4635638,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-18 18:03:10,-,-,X,,-
4635567,매장식사,나우웨이팅 POS,"목살 샐러드, 목살 샐러드",,오리엔탈,onsite,12800,0,12800,2020-08-18 17:57:27,-,-,X,,-
4635538,"매장식사, 매장식사",나우웨이팅 POS,"닭가슴살 샐러드, 훈제연어 샐러드","목살(100g) 추가, 강낭콩 X, 올리브 X, 할라피뇨 X, 목살(100g) 추가, 강낭콩 X, 양파 X","발사믹, 렌치",onsite,18000,0,18000,2020-08-18 17:55:48,-,-,X,,-
4635512,"포장, 포장, 포장",나우웨이팅 POS,"숲속 샐러드, 목살 샐러드, 목살 샐러드","숲속토핑(110g) 추가, 숲속토핑(110g) 추가","오리엔탈, 렌치, 오리엔탈",onsite,22900,0,22900,2020-08-18 17:53:59,-,-,X,,-
4635456,포장,나우웨이팅 POS,훈제연어 샐러드,"삶은달걀 추가, 삶은달걀 추가",렌치,onsite,7900,0,7900,2020-08-18 17:50:11,-,-,X,,-
4635349,포장,나우웨이팅 POS,숲속 샐러드,양파X,오리엔탈,onsite,5900,0,5900,2020-08-18 17:41:53,-,-,X,,-
4635345,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-18 17:41:25,-,-,X,,-
4635343,포장,나우웨이팅 POS,숲속 샐러드,고구마 50g 추가,오리엔탈,onsite,6600,0,6600,2020-08-18 17:41:17,-,-,X,,-
4635242,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 17:32:42,-,-,X,,-
4635230,"포장, 포장",나우웨이팅 POS,"이너프 샐러드, 이너프 샐러드",올리브 X,"렌치, 렌치",onsite,8600,0,8600,2020-08-18 17:31:41,-,-,X,,-
4635211,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,발사믹,onsite,5900,0,5900,2020-08-18 17:30:13,-,-,X,,-
4635204,"매장식사, 매장식사",나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드","계란, 고구마(100g), 목살(100g) 추가, 고구마(100g)","오리엔탈, 오리엔탈",onsite,17700,0,17700,2020-08-18 17:29:31,-,-,X,,-
4635162,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 17:26:06,-,-,X,,-
4635152,포장,나우웨이팅 POS,숲속 샐러드,,발사믹,onsite,5900,0,5900,2020-08-18 17:25:13,-,-,X,,-
4635145,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-18 17:24:48,-,-,X,,-
4635141,포장,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 17:24:37,-,-,X,,-
4635028,"매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 훈제연어 샐러드","강낭콩 X, 올리브 X, 할라피뇨 X","오리엔탈, 렌치",onsite,13300,0,13300,2020-08-18 17:16:37,-,-,X,,-
4635009,포장,나우웨이팅 POS,닭가슴살 샐러드,계란,렌치,onsite,6400,0,6400,2020-08-18 17:15:17,-,-,X,,-
4634987,"매장식사, 매장식사",나우웨이팅 POS,"닭가슴살 샐러드, 훈제연어 샐러드","고구마(50g), 아몬드 X","오리엔탈, 렌치",onsite,13500,0,13500,2020-08-18 17:14:17,-,-,X,,-
4634969,포장,나우웨이팅 POS,닭가슴살 샐러드,"할라피뇨 X, 계란",오리엔탈,onsite,6400,0,6400,2020-08-18 17:12:59,-,-,X,,-
4634958,"매장식사, 매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 목살 샐러드, 목살 샐러드",할라피뇨 X,"오리엔탈, 발사믹, 오리엔탈",onsite,19200,0,19200,2020-08-18 17:12:17,-,-,X,,-
4634931,매장식사,나우웨이팅 POS,훈제연어 샐러드,,렌치,onsite,6900,0,6900,2020-08-18 17:10:25,-,-,X,,-
4634927,매장식사,나우웨이팅 POS,목살 샐러드,,발사믹,onsite,6400,0,6400,2020-08-18 17:09:59,-,-,X,,-
4634773,매장식사,나우웨이팅 POS,훈제연어 샐러드,,렌치,onsite,6900,0,6900,2020-08-18 16:59:51,-,-,X,,-
4634766,매장식사,나우웨이팅 POS,훈제연어 샐러드,"목살(100g) 추가, 올리브 X",렌치,onsite,9500,0,9500,2020-08-18 16:59:24,-,-,X,,-
4634745,매장식사,나우웨이팅 POS,이너프 샐러드,올리브 X,렌치,onsite,4300,0,4300,2020-08-18 16:58:16,-,-,X,,-
4634726,포장,나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드",,발사믹,onsite,11800,0,11800,2020-08-18 16:56:59,-,-,X,,-
4634719,포장,나우웨이팅 POS,목살 샐러드,,발사믹,onsite,6400,0,6400,2020-08-18 16:56:25,-,-,X,,-
4634669,"포장, 포장",나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드","강낭콩X, 올리브X, 강낭콩X, 올리브X","발사믹, 드레싱 제외",onsite,11800,0,11800,2020-08-18 16:52:38,-,-,X,,-
4634511,"매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 훈제연어 샐러드",목살(100g) 추가,"오리엔탈, 렌치",onsite,15900,0,15900,2020-08-18 16:42:09,-,-,X,,-
4634489,포장,나우웨이팅 POS,이너프 샐러드,"올리브 X, 할라피뇨 X",렌치,onsite,4300,0,4300,2020-08-18 16:41:10,-,-,X,,-
4634445,포장,나우웨이팅 POS,숲속 샐러드,올리브 X,렌치,onsite,5900,0,5900,2020-08-18 16:39:08,-,-,X,,-
4634363,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 16:34:47,-,-,X,,-
4634344,포장,나우웨이팅 POS,닭가슴살 샐러드,"숲속토핑(110g) 추가, 고구마 100g 추가",드레싱 제외,onsite,9400,0,9400,2020-08-18 16:33:29,-,-,X,,-
4634253,"매장식사, 매장식사",나우웨이팅 POS,"이너프 샐러드, 훈제연어 샐러드","할라피뇨 X, 강낭콩 X, 올리브 X","발사믹, 렌치",onsite,11200,0,11200,2020-08-18 16:27:52,-,-,X,,-
4633948,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-18 16:10:31,-,-,X,,-
4633835,포장,나우웨이팅 POS,훈제연어 샐러드,"할라피뇨 X, 방울토마토 X",드레싱 제외,onsite,6900,0,6900,2020-08-18 16:05:36,-,-,X,,-
4633437,포장,나우웨이팅 POS,"훈제연어 샐러드, 훈제연어 샐러드",,발사믹,onsite,13800,0,13800,2020-08-18 15:45:32,-,-,X,,-
4633262,매장식사,나우웨이팅 POS,닭가슴살 샐러드,,발사믹,onsite,5900,0,5900,2020-08-18 15:38:13,-,-,X,,-
